,scenario_id,roaduser_id,startx_axis,starty_axis,endx_axis,endy_axis,speed,max_speed,numberofcycle,start_cycle,user_type,strategy
407,20,p244,13.1349,3.8504,6.104,31.8834,1.7765954660529786,2.607409593096513,71.0,44.0,1,1
408,20,p245,13.8051,3.2334,16.0782,31.4774,1.461998840628815,2.16365365543383,77.0,44.0,1,1
409,20,p246,14.4387,3.4434,16.9929,31.5871,1.237903942153833,2.121363084624019,77.0,44.0,1,1
410,20,p252,12.6968,4.8173,13.3796,31.4173,1.609718351140969,1.8881903056946696,81.0,47.0,1,1
411,20,p253,10.9374,4.1477,5.1245,31.7877,1.522176579769903,1.8265531233821977,85.0,47.0,1,1
412,20,p254,13.5306,3.6306,12.4695,31.976999999999997,1.5746691335007492,1.8624029596389091,83.0,47.0,1,1
413,20,p255,12.697000000000001,3.0780000000000003,10.4891,31.9081,1.514647024887317,1.5843497065815162,89.0,47.0,1,1
414,20,p256,11.9242,3.0073,9.4465,31.8615,1.3598212713441424,1.5659113774068512,89.0,47.0,1,1
415,20,p260,13.8124,5.0811,13.3347,32.1149,1.5534878242200676,1.8230853307614718,85.0,51.0,1,1
416,20,p261,13.259,4.993,12.8324,32.0368,1.5868532698394016,1.7949515743339517,85.0,51.0,1,1
417,20,p262,12.7633,4.8961,12.3369,31.8948,1.625578721563493,1.7981826274705863,85.0,51.0,1,1
418,20,p263,12.0274,3.6342,7.4824,31.9134,1.2589666635777137,1.6341391842655524,93.0,51.0,1,1
419,20,p264,11.0185,3.8222,6.891,31.5974,1.3576120543071206,1.5767280199582934,92.0,51.0,1,1
420,20,p268,13.4385,3.1408,12.1209,31.8219,1.4693258896514414,1.831132428784305,92.0,54.0,1,1
421,20,p269,11.3301,3.7855,7.2811,31.4945,1.391321479745066,1.905029124154347,89.0,54.0,1,1
422,20,p270,9.7799,7.095,7.4684,32.1003,2.9346124037085373,2.9206205219482984,79.0,57.0,1,1
423,20,p271,12.6769,4.4379,12.5517,31.4283,1.136743577065646,1.8841525923403442,92.0,57.0,1,1
424,20,p272,14.2063,3.6788,13.3998,32.177,1.165401098334818,1.898836707019986,93.0,57.0,1,1
425,20,p279,12.8916,4.9609,9.2605,31.8394,1.7653849693480457,2.0166664438342297,92.0,61.0,1,1
